page_id,doc_id,pdf_name,pdf_path,page_idx,image_name,image_path,image_rel_path,dpi
fr3_datasheet:0000,fr3_datasheet,fr3_datasheet.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_datasheet.pdf,0,page_0000.png,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0000.png,data/pages/fr3_datasheet/page_0000.png,160
fr3_datasheet:0001,fr3_datasheet,fr3_datasheet.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_datasheet.pdf,1,page_0001.png,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0001.png,data/pages/fr3_datasheet/page_0001.png,160
fr3_datasheet:0002,fr3_datasheet,fr3_datasheet.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_datasheet.pdf,2,page_0002.png,/users/xyk/robotdoc-rag/data/pages/fr3_datasheet/page_0002.png,data/pages/fr3_datasheet/page_0002.png,160
fr3_operating_manual:0000,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,0,page_0000.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0000.png,data/pages/fr3_operating_manual/page_0000.png,160
fr3_operating_manual:0001,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,1,page_0001.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0001.png,data/pages/fr3_operating_manual/page_0001.png,160
fr3_operating_manual:0002,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,2,page_0002.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0002.png,data/pages/fr3_operating_manual/page_0002.png,160
fr3_operating_manual:0003,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,3,page_0003.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0003.png,data/pages/fr3_operating_manual/page_0003.png,160
fr3_operating_manual:0004,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,4,page_0004.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0004.png,data/pages/fr3_operating_manual/page_0004.png,160
fr3_operating_manual:0005,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,5,page_0005.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0005.png,data/pages/fr3_operating_manual/page_0005.png,160
fr3_operating_manual:0006,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,6,page_0006.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0006.png,data/pages/fr3_operating_manual/page_0006.png,160
